Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,resident_data,,text,Record ID,,,,,,,,,,,,, 
name,resident_data,,text,Name from evaluation instrument (for database linking),,,,,,,,,,,,, 
last_name,resident_data,,text,Resident Last Name,,,,,,y,,,,,,, 
first_name,resident_data,,text,Resident First Name,,,,,,y,,,,,,, 
type,resident_data,,dropdown,Resident type,"1, Preliminary | 2, Categorical | 3, Dismissed",,,,,,,,,,,,
grad_yr,resident_data,,dropdown,Graduation year,"1, 2023 | 2, 2024 | 3, 2025 | 4, 2026 | 5, 2027 | 6, 2028 | 7, 2029 | 8, 2030 | 9, 2031 | 10, 2032 | 11, 2033 | 12, 2034 | 13, 2035 | 14, 2000 | 15, 2001 | 16, 2002 | 17, 2003 | 18, 2004 | 19, 2005 | 20, 2006 | 21, 2007 | 22, 2008 | 23, 2009 | 24, 2010 | 25, 2011 | 26, 2012 | 27, 2013 | 28, 2014 | 29, 2015 | 30, 2016 | 31, 2017 | 32, 2018 | 33, 2019 | 34, 2020 | 35, 2021 | 36, 2022",,,,,,,,,,,,
dob,resident_data,,text,dob,,,date_mdy,,,,,,,,,,
gender,resident_data,,dropdown,Gender,"1, Male | 2, Female | 3, Non-binary",,,,,,,,,,,,
race_ethn,resident_data,,checkbox,Race / Ethnicity (check all that apply),"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Hispanic, Latino, or of Spanish Origin | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Other / Unknown",,,,,,,,,,,,
phone,resident_data,,text,Preferred phone number (for texting),,,phone,,,,,,,,,, 
email,resident_data,,text,Email address (prefer @slucare.ssmhealth.com address),,,email,,,,,,,,,, 
deg,resident_data,,dropdown,Degree Type,"1, US MD | 2, US DO | 3, US IMG | 4, IMG",,,,,,,,,,,,
usmle_step1_failure,resident_data,USMLE Scores,yesno,USMLE Step 1 Failure,,,,,,,,,,,,, 
usmle_step2_failure,resident_data,,yesno,USMLE Step 2 Failure,,,,,,,,,,,,, 
usmle_step2_score,resident_data,,text,USMLE Step 2 Score,,,integer,,,,,,,,,, 
step3,resident_data,,yesno,USMLE and/or COMLEX Step 3 Passed?,,,,,,,,,,,,,
usmle_step3_failure,resident_data,,yesno,USMLE Step 3 Failure,,,,,,,,,,,,, 
